SCHEME_CODE,SCHEME_NAME,SCHEME_TYPE,COMPANY_ID,LAUNCH_DATE
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,INF843K01FD6,993,
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,INF843K01FG9,993,
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,INF843K01FI5,993,
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,INF843K01FF1,993,
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,INF843K01FK1,993,
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,INF843K01FL9,993,
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,INF843K01FO3,993,
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,INF843K01FQ8,993,
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,INF843K01FN5,993,
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,INF090I01KR8,1056,
129006,Franklin India Banking & PSU Debt Fund - Growth,INF090I01KO5,1056,
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW,INF090I01KS6,1056,
129007,Franklin India Banking and PSU Debt Fund - IDCW,INF090I01KP2,1056,
128628,HDFC Banking and PSU Debt Fund - Growth Option,INF179KA1JC4,1057,
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,INF179KA1IZ7,1057,
128627,HDFC Banking and PSU Debt Fund - IDCW Option,INF179KA1JD2,1057,
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,INF179KA1JA8,1057,
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,-,1058,
151107,HSBC Banking and PSU Debt Fund - Direct Growth,INF917K01HH5,1058,
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,INF917K01HJ1,1058,
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,-,1058,
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,-,1058,
151104,HSBC Banking and PSU Debt Fund - Regular Growth,INF677K01AE7,1058,
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,INF677K01AI8,1058,
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,-,1058,
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,INF109K01WS5,1059,
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,INF109K01WR7,1059,
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,INF109KA1B57,1059,
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,INF109K01Z89,1059,
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,INF109K010A6,1059,
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,INF109K011A4,1059,
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,INF109K013A0,1059,
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,INF109KA1B40,1059,
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,INF109KA1M96,1059,
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,INF109K01RT3,1059,
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,INF109K01YE1,1059,
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,INF109KA1M70,1059,
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,INF109K01WW7,1059,
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,INF109K01II5,1059,
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,INF109K01WV9,1059,
118234,Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment),-,997,
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,INF205K01KT4,997,
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),-,997,
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),INF205K01KU2,997,
118232,Invesco India Banking and PSU Fund - Growth Option,INF205K01JV2,997,
118233,Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment),INF205K01JW0,997,
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,INF00XX01861,810,
